,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province
94,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,13.0,0.0,ROSARIO,AGUSAN DEL SUR
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,ROSARIO,AGUSAN DEL SUR
96,1.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,16.0,0.0,SAN FRANCISCO,AGUSAN DEL SUR
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SAN FRANCISCO,AGUSAN DEL SUR
98,0.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,Within,0.0,12.0,0.0,SANTA JOSEFA,AGUSAN DEL SUR
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SANTA JOSEFA,AGUSAN DEL SUR
100,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,12.0,0.0,SIBAGAT,AGUSAN DEL SUR
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,SIBAGAT,AGUSAN DEL SUR
102,1.0,0.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,16.0,0.0,TALACOGON,AGUSAN DEL SUR
103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,TALACOGON,AGUSAN DEL SUR
104,0.0,2.0,1.0,10.0,2.0,0.0,0.0,1.0,0.0,Within,0.0,16.0,0.0,TRENTO,AGUSAN DEL SUR
105,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,2.0,0.0,TRENTO,AGUSAN DEL SUR
106,0.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,13.0,0.0,VERUELA,AGUSAN DEL SUR
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,VERUELA,AGUSAN DEL SUR
